,block_number,block_slot,block_time,validator_index,withdrawal_amount,withdrawal_recipient
95,19246516,8444661,2024-02-17 08:52:35.000 UTC,65163,0.018154181,0xbc5a4a09450b4106be9a4df3d85da3f4617e819f
96,19246516,8444661,2024-02-17 08:52:35.000 UTC,65153,32.012739858,0xbc5a4a09450b4106be9a4df3d85da3f4617e819f
97,19246516,8444661,2024-02-17 08:52:35.000 UTC,65170,32.012753372,0xbc5a4a09450b4106be9a4df3d85da3f4617e819f
98,19246516,8444661,2024-02-17 08:52:35.000 UTC,65166,32.0,0xbc5a4a09450b4106be9a4df3d85da3f4617e819f
99,19246516,8444661,2024-02-17 08:52:35.000 UTC,65175,32.0,0xbc5a4a09450b4106be9a4df3d85da3f4617e819f
100,19245134,8443266,2024-02-17 04:13:35.000 UTC,6864,0.018145451,0x4231b2f83cb7c833db84cec0ceaaa9959f051374
101,19245134,8443266,2024-02-17 04:13:35.000 UTC,6870,0.018132884,0x4231b2f83cb7c833db84cec0ceaaa9959f051374
102,19245134,8443266,2024-02-17 04:13:35.000 UTC,6863,0.018114185,0x4231b2f83cb7c833db84cec0ceaaa9959f051374
103,19245134,8443266,2024-02-17 04:13:35.000 UTC,6871,0.018058046,0x4231b2f83cb7c833db84cec0ceaaa9959f051374
104,19245134,8443266,2024-02-17 04:13:35.000 UTC,6876,0.018090763,0x4231b2f83cb7c833db84cec0ceaaa9959f051374
105,19245134,8443266,2024-02-17 04:13:35.000 UTC,6878,0.018132328,0x4231b2f83cb7c833db84cec0ceaaa9959f051374
106,19245134,8443266,2024-02-17 04:13:35.000 UTC,6873,0.018109597,0x4231b2f83cb7c833db84cec0ceaaa9959f051374
107,19245134,8443266,2024-02-17 04:13:35.000 UTC,6867,0.018114391,0x4231b2f83cb7c833db84cec0ceaaa9959f051374
108,19245134,8443266,2024-02-17 04:13:35.000 UTC,6874,0.01813695,0x4231b2f83cb7c833db84cec0ceaaa9959f051374
109,19245134,8443266,2024-02-17 04:13:35.000 UTC,6877,0.018090523,0x4231b2f83cb7c833db84cec0ceaaa9959f051374
110,19245134,8443266,2024-02-17 04:13:35.000 UTC,6866,0.018098899,0x4231b2f83cb7c833db84cec0ceaaa9959f051374
111,19245134,8443266,2024-02-17 04:13:35.000 UTC,6868,0.018134099,0x4231b2f83cb7c833db84cec0ceaaa9959f051374
112,19245134,8443266,2024-02-17 04:13:35.000 UTC,6865,0.180891778,0x4231b2f83cb7c833db84cec0ceaaa9959f051374
113,19245134,8443266,2024-02-17 04:13:35.000 UTC,6869,0.018103691,0x4231b2f83cb7c833db84cec0ceaaa9959f051374
114,19245134,8443266,2024-02-17 04:13:35.000 UTC,6875,0.018119805,0x4231b2f83cb7c833db84cec0ceaaa9959f051374
115,19245134,8443266,2024-02-17 04:13:35.000 UTC,6872,0.018106404,0x4231b2f83cb7c833db84cec0ceaaa9959f051374
116,19244055,8442171,2024-02-17 00:34:35.000 UTC,1204221,0.008521658,0x7e2a2fa2a064f693f0a55c5639476d913ff12d05
117,19243258,8441371,2024-02-16 21:54:35.000 UTC,1191465,0.017503072,0x7e2a2fa2a064f693f0a55c5639476d913ff12d05
118,19243258,8441371,2024-02-16 21:54:35.000 UTC,1191463,0.017415646,0x7e2a2fa2a064f693f0a55c5639476d913ff12d05
119,19243258,8441371,2024-02-16 21:54:35.000 UTC,1191460,0.017515939,0x7e2a2fa2a064f693f0a55c5639476d913ff12d05
120,19243258,8441371,2024-02-16 21:54:35.000 UTC,1191468,0.017504135,0x7e2a2fa2a064f693f0a55c5639476d913ff12d05
121,19242348,8440454,2024-02-16 18:51:11.000 UTC,1176882,0.01766782,0x7e2a2fa2a064f693f0a55c5639476d913ff12d05
122,19240641,8438723,2024-02-16 13:04:59.000 UTC,1149382,0.017689453,0x7e2a2fa2a064f693f0a55c5639476d913ff12d05
123,19240641,8438723,2024-02-16 13:04:59.000 UTC,1149381,0.017662233,0x7e2a2fa2a064f693f0a55c5639476d913ff12d05
124,19240641,8438723,2024-02-16 13:04:59.000 UTC,1149380,0.017688883,0x7e2a2fa2a064f693f0a55c5639476d913ff12d05
125,19240641,8438723,2024-02-16 13:04:59.000 UTC,1149379,0.017676683,0x7e2a2fa2a064f693f0a55c5639476d913ff12d05
126,19240443,8438521,2024-02-16 12:24:35.000 UTC,1146093,0.017651665,0x7e2a2fa2a064f693f0a55c5639476d913ff12d05
127,19240443,8438521,2024-02-16 12:24:35.000 UTC,1146091,0.017651269,0x7e2a2fa2a064f693f0a55c5639476d913ff12d05
128,19240443,8438521,2024-02-16 12:24:35.000 UTC,1146089,0.017656346,0x7e2a2fa2a064f693f0a55c5639476d913ff12d05
129,19240443,8438521,2024-02-16 12:24:35.000 UTC,1146088,0.017656007,0x7e2a2fa2a064f693f0a55c5639476d913ff12d05
130,19239549,8437618,2024-02-16 09:23:59.000 UTC,1131676,0.017643864,0x7e2a2fa2a064f693f0a55c5639476d913ff12d05
131,19239549,8437618,2024-02-16 09:23:59.000 UTC,1131675,0.017621181,0x7e2a2fa2a064f693f0a55c5639476d913ff12d05
132,19239549,8437618,2024-02-16 09:23:59.000 UTC,1131674,0.01762238,0x7e2a2fa2a064f693f0a55c5639476d913ff12d05
133,19239549,8437618,2024-02-16 09:23:59.000 UTC,1131673,0.0176214,0x7e2a2fa2a064f693f0a55c5639476d913ff12d05
134,19239549,8437618,2024-02-16 09:23:59.000 UTC,1131672,0.017582353,0x7e2a2fa2a064f693f0a55c5639476d913ff12d05
135,19239549,8437618,2024-02-16 09:23:59.000 UTC,1131671,0.017659457,0x7e2a2fa2a064f693f0a55c5639476d913ff12d05
136,19239549,8437618,2024-02-16 09:23:59.000 UTC,1131670,0.017618155,0x7e2a2fa2a064f693f0a55c5639476d913ff12d05
137,19238721,8436775,2024-02-16 06:35:23.000 UTC,1118332,0.017646907,0xb3d9cf8e163bbc840195a97e81f8a34e295b8f39
138,19238721,8436775,2024-02-16 06:35:23.000 UTC,1118331,0.017638386,0xb3d9cf8e163bbc840195a97e81f8a34e295b8f39
